index,t_debut_s,t_fin_s,duree_s,type,fichier
0,0.0,0.9462,0.9462,intro,sample.jpg
1,0.9462,1.399,0.4528,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
2,1.399,1.8431,0.4441,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
3,1.8431,2.3075,0.4644,courte(~0.45),1ih87gqCX3JV6IVYdiZbnmwI55FrYX7XT.jpg
4,2.3075,2.7226,0.4151,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
5,2.7226,3.1609,0.4383,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
6,3.1609,3.6398,0.4789,courte(~0.45),1TMvewXxSpCHW931hMDJCUXCqYbBN6Eaz.jpg
7,3.6398,4.5193,0.8795,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
8,4.5193,4.9808,0.4615,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
9,4.9808,5.4075,0.4267,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
10,5.4075,5.8632,0.4557,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
11,5.8632,6.3044,0.4412,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
12,6.3044,7.2187,0.9143,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
13,7.2187,8.1301,0.9114,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
14,8.1301,8.5452,0.4151,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
15,8.5452,9.0415,0.4963,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
16,9.0415,9.4508,0.4093,courte(~0.45),1JHap1Vax817eutp-zM6yP1cOIP0t83pz.jpg
17,9.4508,9.8978,0.447,courte(~0.45),1xwJ-9655jx6AsbKyeclXUdq0OTxIE6UQ.jpg
18,9.8978,10.3506,0.4528,courte(~0.45),1S0iPyUToQUHLWNwIVDKyGglmNANn_rr8.jpg
19,10.3506,10.8005,0.4499,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
20,10.8005,11.7003,0.8998,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
21,11.7003,12.1473,0.447,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
22,12.1473,12.5885,0.4412,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
23,12.5885,13.0355,0.447,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
24,13.0355,13.4883,0.4528,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
25,13.4883,14.3707,0.8824,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
26,14.3707,15.285,0.9143,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
27,15.285,15.7436,0.4586,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
28,15.7436,16.1848,0.4412,courte(~0.45),13cpHr-kvgE94-L6mu7oZlvGO_J6V9Iad.jpg
29,16.1848,16.6492,0.4644,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
30,16.6492,17.0788,0.4296,courte(~0.45),1qK4wbUUicy7fWUo0S_9gv3T8Xybtufyd.jpg
31,17.0788,17.4851,0.4063,courte(~0.45),1HUkfl_h4_qPv06zdhTFiVR4mTFaVZ5mX.jpg
32,17.4851,17.9437,0.4586,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
33,17.9437,18.8464,0.9027,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
34,18.8464,19.2876,0.4412,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
35,19.2876,19.7636,0.476,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
36,19.7636,20.2077,0.4441,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
37,20.2077,20.6518,0.4441,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
38,20.6518,21.5225,0.8707,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
39,21.5225,22.4339,0.9114,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
40,22.4339,22.8954,0.4615,courte(~0.45),1xwJ-9655jx6AsbKyeclXUdq0OTxIE6UQ.jpg
41,22.8954,23.3337,0.4383,courte(~0.45),1HUkfl_h4_qPv06zdhTFiVR4mTFaVZ5mX.jpg
42,23.3337,23.8213,0.4876,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
43,23.8213,24.2393,0.418,courte(~0.45),1S0iPyUToQUHLWNwIVDKyGglmNANn_rr8.jpg
44,24.2393,24.6631,0.4238,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
45,24.6631,25.1565,0.4934,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
46,25.1565,26.0098,0.8533,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
47,26.0098,26.4713,0.4615,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
48,26.4713,26.8893,0.418,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
49,26.8893,27.3334,0.4441,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
50,27.3334,27.8036,0.4702,courte(~0.45),1JHap1Vax817eutp-zM6yP1cOIP0t83pz.jpg
51,27.8036,28.7469,0.9433,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
52,28.7469,29.6176,0.8707,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
53,29.6176,30.0443,0.4267,courte(~0.45),1qK4wbUUicy7fWUo0S_9gv3T8Xybtufyd.jpg
54,30.0443,30.5174,0.4731,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
55,30.5174,30.9557,0.4383,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
56,30.9557,31.4056,0.4499,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
57,31.4056,31.8526,0.447,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
58,31.8526,32.3199,0.4673,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
59,32.3199,33.1994,0.8795,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
60,33.1994,33.6435,0.4441,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
61,33.6435,34.1253,0.4818,courte(~0.45),1ih87gqCX3JV6IVYdiZbnmwI55FrYX7XT.jpg
62,34.1253,34.5404,0.4151,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
63,34.5404,34.9729,0.4325,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
64,34.9729,35.8988,0.9259,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
65,35.8988,36.7899,0.8911,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
66,36.7899,37.1992,0.4093,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
67,37.1992,37.6781,0.4789,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
68,37.6781,38.1193,0.4412,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
69,38.1193,38.5518,0.4325,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
70,38.5518,39.0249,0.4731,courte(~0.45),13cpHr-kvgE94-L6mu7oZlvGO_J6V9Iad.jpg
71,39.0249,39.4632,0.4383,courte(~0.45),1TMvewXxSpCHW931hMDJCUXCqYbBN6Eaz.jpg
72,39.4632,40.3572,0.894,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
73,40.3572,40.8042,0.447,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
74,40.8042,41.2454,0.4412,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
75,41.2454,41.6866,0.4412,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
76,41.6866,42.1452,0.4586,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
77,42.1452,43.0072,0.862,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
78,43.0072,43.9563,0.9491,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
79,43.9563,44.3917,0.4354,courte(~0.45),13cpHr-kvgE94-L6mu7oZlvGO_J6V9Iad.jpg
80,44.3917,44.8126,0.4209,courte(~0.45),1xwJ-9655jx6AsbKyeclXUdq0OTxIE6UQ.jpg
81,44.8126,45.2828,0.4702,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
82,45.2828,45.7269,0.4441,courte(~0.45),1TMvewXxSpCHW931hMDJCUXCqYbBN6Eaz.jpg
83,45.7269,46.1681,0.4412,courte(~0.45),1S0iPyUToQUHLWNwIVDKyGglmNANn_rr8.jpg
84,46.1681,46.6122,0.4441,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
85,46.6122,47.4917,0.8795,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
86,47.4917,47.9764,0.4847,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
87,47.9764,48.406,0.4296,courte(~0.45),1ih87gqCX3JV6IVYdiZbnmwI55FrYX7XT.jpg
88,48.406,48.853,0.447,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
89,48.853,49.3116,0.4586,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
90,49.3116,50.2114,0.8998,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
91,50.2114,51.1083,0.8969,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
92,51.1083,51.5553,0.447,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
93,51.5553,51.9762,0.4209,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
94,51.9762,52.4348,0.4586,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
95,52.4348,52.9195,0.4847,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
96,52.9195,53.3229,0.4034,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
97,53.3229,53.796,0.4731,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
98,53.796,54.69,0.894,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
99,54.69,55.1254,0.4354,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
100,55.1254,55.6043,0.4789,courte(~0.45),1HUkfl_h4_qPv06zdhTFiVR4mTFaVZ5mX.jpg
101,55.6043,56.0223,0.418,courte(~0.45),1qK4wbUUicy7fWUo0S_9gv3T8Xybtufyd.jpg
102,56.0223,56.4751,0.4528,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
103,56.4751,57.3778,0.9027,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
104,57.3778,58.2805,0.9027,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
105,58.2805,58.7043,0.4238,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
106,58.7043,59.1803,0.476,courte(~0.45),1JHap1Vax817eutp-zM6yP1cOIP0t83pz.jpg
107,59.1803,59.6215,0.4412,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
108,59.6215,60.0395,0.418,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
109,60.0395,60.4894,0.4499,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
110,60.4894,60.9538,0.4644,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
111,60.9538,61.8594,0.9056,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
112,61.8594,62.2977,0.4383,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
113,62.2977,62.7534,0.4557,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
114,62.7534,63.183,0.4296,courte(~0.45),1JHap1Vax817eutp-zM6yP1cOIP0t83pz.jpg
115,63.183,63.6416,0.4586,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
116,63.6416,64.5588,0.9172,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
117,64.5588,65.4528,0.894,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
118,65.4528,65.8621,0.4093,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
119,65.8621,66.3439,0.4818,courte(~0.45),1qK4wbUUicy7fWUo0S_9gv3T8Xybtufyd.jpg
120,66.3439,66.788,0.4441,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
121,66.788,67.2205,0.4325,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
122,67.2205,67.6559,0.4354,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
123,67.6559,68.1348,0.4789,courte(~0.45),13cpHr-kvgE94-L6mu7oZlvGO_J6V9Iad.jpg
124,68.1348,69.0055,0.8707,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
125,69.0055,69.4496,0.4441,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
126,69.4496,69.8995,0.4499,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
127,69.8995,70.3697,0.4702,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
128,70.3697,70.7935,0.4238,courte(~0.45),1ih87gqCX3JV6IVYdiZbnmwI55FrYX7XT.jpg
129,70.7935,71.7049,0.9114,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
130,71.7049,72.6047,0.8998,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
131,72.6047,73.014,0.4093,courte(~0.45),1TMvewXxSpCHW931hMDJCUXCqYbBN6Eaz.jpg
132,73.014,73.5074,0.4934,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
133,73.5074,73.9399,0.4325,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
134,73.9399,74.384,0.4441,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
135,74.384,74.8368,0.4528,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
136,74.8368,75.278,0.4412,courte(~0.45),1xwJ-9655jx6AsbKyeclXUdq0OTxIE6UQ.jpg
137,75.278,76.1604,0.8824,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
138,76.1604,76.6103,0.4499,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
139,76.6103,77.0602,0.4499,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
140,77.0602,77.513,0.4528,courte(~0.45),1HUkfl_h4_qPv06zdhTFiVR4mTFaVZ5mX.jpg
141,77.513,77.9571,0.4441,courte(~0.45),1S0iPyUToQUHLWNwIVDKyGglmNANn_rr8.jpg
142,77.9571,78.8743,0.9172,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
143,78.8743,79.7334,0.8591,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
144,79.7334,80.2007,0.4673,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
145,80.2007,80.6738,0.4731,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
146,80.6738,81.0947,0.4209,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
147,81.0947,81.5562,0.4615,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
148,81.5562,81.9655,0.4093,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
149,81.9655,82.4415,0.476,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
150,82.4415,83.3268,0.8853,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
151,83.3268,83.7941,0.4673,courte(~0.45),1S0iPyUToQUHLWNwIVDKyGglmNANn_rr8.jpg
152,83.7941,84.2498,0.4557,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
153,84.2498,84.662,0.4122,courte(~0.45),1TMvewXxSpCHW931hMDJCUXCqYbBN6Eaz.jpg
154,84.662,85.1496,0.4876,courte(~0.45),1xwJ-9655jx6AsbKyeclXUdq0OTxIE6UQ.jpg
155,85.1496,86.032,0.8824,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
156,86.032,86.9434,0.9114,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
157,86.9434,87.373,0.4296,courte(~0.45),1HUkfl_h4_qPv06zdhTFiVR4mTFaVZ5mX.jpg
158,87.373,87.8316,0.4586,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
159,87.8316,88.2902,0.4586,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
160,88.2902,88.7082,0.418,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
161,88.7082,89.1523,0.4441,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
162,89.1523,89.6051,0.4528,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
163,89.6051,90.5252,0.9201,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
164,90.5252,90.9461,0.4209,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
165,90.9461,91.3989,0.4528,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
166,91.3989,91.8575,0.4586,courte(~0.45),1JHap1Vax817eutp-zM6yP1cOIP0t83pz.jpg
167,91.8575,92.2987,0.4412,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
168,92.2987,93.2188,0.9201,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
169,93.2188,94.0925,0.8737,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
170,94.0925,94.5105,0.418,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
171,94.5105,95.0126,0.5021,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
172,95.0126,95.4538,0.4412,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
173,95.4538,95.9153,0.4615,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
174,95.9153,96.3304,0.4151,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
175,96.3304,96.789,0.4586,courte(~0.45),13cpHr-kvgE94-L6mu7oZlvGO_J6V9Iad.jpg
176,96.789,97.6714,0.8824,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
177,97.6714,98.0981,0.4267,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
178,98.0981,98.5567,0.4586,courte(~0.45),1ih87gqCX3JV6IVYdiZbnmwI55FrYX7XT.jpg
179,98.5567,99.0095,0.4528,courte(~0.45),1qK4wbUUicy7fWUo0S_9gv3T8Xybtufyd.jpg
180,99.0095,99.4652,0.4557,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
181,99.4652,100.3824,0.9172,longue(~0.9),1epEnTmJJnWjQmXwKCrHANA3pTXFe36GN.jpg
182,100.3824,101.2677,0.8853,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
183,101.2677,101.6973,0.4296,courte(~0.45),1xi_r41zcTPGrh4Pm8eUBLlgtf-ptbvhI.jpg
184,101.6973,102.1733,0.476,courte(~0.45),1pImt4KDnb1zh9Mm95tjYlpxGoM2UXps_.jpg
185,102.1733,102.5855,0.4122,courte(~0.45),1rVjW5gf6smniU3E1IIz0XHMD93ugvTga.jpg
186,102.5855,103.0673,0.4818,courte(~0.45),1BeZKld_wHNv2HvRafOjD9jdzXXklRwLY.jpg
187,103.0673,103.4678,0.4005,courte(~0.45),1pNfaT1J_cFk7dsG1aGLwwIvU5yytjlfd.jpg
188,103.4678,103.9496,0.4818,courte(~0.45),1Pc9Gm954zLCOYlTOLdP0oFQ0wyP1XhbE.jpg
189,103.9496,104.8465,0.8969,longue(~0.9),1L4DTW5nBfZQkNBLG8kTWHmyCSjqCJfDS.jpg
190,104.8465,105.2703,0.4238,courte(~0.45),1CG4Y3Guc36XchnIT48kuYIq_YEZfe48b.jpg
191,105.2703,105.7376,0.4673,courte(~0.45),1x4NNtgOIm6O1nVTNsgEzNTaZtk7z2E5K.jpg
192,105.7376,106.1614,0.4238,courte(~0.45),1TCCgbTx-5ZaeAoLufOirUHx6qktM9qsP.jpg
193,106.1614,106.6577,0.4963,courte(~0.45),1EgOCtUT8lKgV0glvBrXR--aYeIsFSvaB.jpg
194,106.6577,107.511,0.8533,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
195,107.511,108.4282,0.9172,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
196,108.4282,108.8694,0.4412,courte(~0.45),1OA51XCelsTKQZVMtQqySLmpYEBqSl2nA.jpg
197,108.8694,109.3338,0.4644,courte(~0.45),1_os5irb7eXB4T6zF7s2LD-vv6ZCkEoaT.jpg
198,109.3338,109.7808,0.447,courte(~0.45),1wx12ORhlBAGpa-dKI0DKypKDM-nOyWOo.jpg
199,109.7808,110.1959,0.4151,courte(~0.45),1OKrRmt05d57D0n3J2sFHFwMAgyp8rJ38.jpg
200,110.1959,110.6284,0.4325,courte(~0.45),17VKKakic2hYWP2q7ARCzZgkO_aZqRIi1.jpg
201,110.6284,111.1102,0.4818,courte(~0.45),1msk7uHaU0XDN45wzimKlVQ3WsBcjdfKM.jpg
202,111.1102,111.9955,0.8853,longue(~0.9),18gfDH_qlWo8_squZE6-8_oiovvzIRr5h.jpg
203,111.9955,112.4599,0.4644,courte(~0.45),1YJ_as0SX2-k6erjvlbH2ijfs6svo3A1Y.jpg
204,112.4599,112.9243,0.4644,courte(~0.45),1aMwSbD15Xq5Vv1yAEloe-Gj-ecBVliYu.jpg
205,112.9243,113.38,0.4557,courte(~0.45),1CKLrZ74H00WZoP3GB-B0oQjx-WZ3ww9m.jpg
206,113.38,113.8096,0.4296,courte(~0.45),1K7pmpL9DLklWv4-ZJQeCZPvuYG2pzDvh.jpg
207,113.8096,114.692,0.8824,longue(~0.9),1fQ_XJdTho7ZFFE81DqA0X0eBzGbYzxih.jpg
208,114.692,124.0283,9.3363,longue(~0.9),1YJ-WOt1KT8s_bE1CmTZvrihB5fnlOPls.jpg
